pobocka_cislo,pobocka_nazev,pobocka_id,oblast
62,Barrandov,62,Jihozápad
52,Bohnice,52,Severovýchod
35,Břevnov,35,Středozápad
30,Cibulka,30,Jihozápad
37,Dědina,37,Středozápad
38,Dejvice,38,Středozápad
51,Dittrichova,51,Středozápad
56,Dům čtení,56,Jihovýchod
13,Hloubětín (H55),13,Severovýchod
21,Hostivař,21,Jihovýchod
3,Hradčany,3,Středozápad
89,Chodov,89,Jih
24,Jezerka,24,Jih
7,Kobylisy,7,Severovýchod
18,Korunní,18,Jihovýchod
60,Krč,60,Jih
88,Ládví,88,Severovýchod
39,Letná,39,Severovýchod
81,Lužiny,81,Jihozápad
61,Malešice,61,Jihovýchod
27,Modřany,27,Jih
41,Novodvorská,41,Jih
58,Opatov,58,Jih
4,Ostrčilovo náměstí,4,Středozápad
48,Ostrovského,48,Jihozápad
43,Pankrác,43,Jih
42,Petřiny,42,Středozápad
54,Prosek,54,Severovýchod
87,Rajská zahrada,87,Severovýchod
5,Sedmička,5,Severovýchod
70,Skalka,70,Jihovýchod
29,Smíchov,29,Jihozápad
45,Spořilov,45,Jih
84,Stodůlky,84,Jihozápad
8,Školská,8,Středozápad
1,Ústřední knihovna,1,Ústřední knihovna
31,Velká Chuchle,31,Jihozápad
11,Velký mlýn,11,Severovýchod
25,Vikova,25,Jih
66,Vozovna,66,Středozápad
10,Vysočany,10,Severovýchod
47,Zahradní Město,47,Jihovýchod
65,Záhřebská,65,Středozápad
15,Žižkov,15,Středozápad
92,Jeneč,92,Sklad
