pobocka_cislo,pobocka_nazev,oblast,pocet_lokaci,pocet_lokaci_s_kapacitou,stav_fondu_celkem,kapacita_celkem,stav_pri_pokryti_kapacitou,naplnenost_pct
11,Velký mlýn,Severovýchod,10,7,4417.0,4041.0,4318.0,106.85473892600841
16,DOK16,,2,0,0.0,,,
83,Kiosek Chodov,,3,0,556.0,,,
81,Lužiny,Jihozápad,23,17,30523.0,24738.0,30514.0,123.34869431643625
31,Velká Chuchle,Jihozápad,12,9,4212.0,3500.0,4168.0,119.08571428571429
15,Žižkov,Středozápad,22,16,12984.0,12445.0,12971.0,104.22659702691844
97,Vzácné tisky - objednávka,,15,0,18680.0,,,
52,Bohnice,Severovýchod,17,15,45989.0,43972.0,45956.0,104.51196215773675
92,Vzdálený sklad 9,Sklad,11,7,169696.0,684621.0,169696.0,24.78685287188094
32,(zavřeno) Černý Most,,3,0,0.0,,,
62,Barrandov,Jihozápad,17,14,13779.0,12218.0,13769.0,112.69438533311508
37,Dědina,Středozápad,10,7,8125.0,5952.0,8103.0,136.1391129032258
35,Břevnov,Středozápad,17,9,19999.0,18103.0,19680.0,108.71126332652047
96,Region,,3,0,11209.0,,,
54,Prosek,Severovýchod,21,17,20497.0,17341.0,20465.0,118.0151087019203
5,Sedmička,Severovýchod,15,11,13497.0,16536.0,13488.0,81.56748911465893
65,Záhřebská,Středozápad,25,15,9508.0,9016.0,9414.0,104.41437444543034
30,Cibulka,Jihozápad,18,8,2328.0,1802.0,2290.0,127.08102108768036
42,Petřiny,Středozápad,21,15,12399.0,9185.0,12008.0,130.7348938486663
70,Skalka,Jihovýchod,12,9,11151.0,8292.0,11117.0,134.0689821514713
,,,28,0,173170.0,,,
87,Rajská zahrada,Severovýchod,13,11,9064.0,6691.0,9047.0,135.21147810491706
25,Vikova,Jih,16,12,11331.0,11516.0,11078.0,96.19659604029177
99,Výměnné soubory,,21,0,7182.0,,,
21,Hostivař,Jihovýchod,13,11,10375.0,9210.0,10344.0,112.31270358306189
18,Korunní,Jihovýchod,24,16,24526.0,19597.0,22805.0,116.36985252844823
29,Smíchov,Jihozápad,21,19,27640.0,35115.0,27603.0,78.60743272105938
10,Vysočany,Severovýchod,17,13,13805.0,12383.0,13744.0,110.99087458612614
47,Zahradní Město,Jihovýchod,15,13,11172.0,8183.0,11145.0,136.1969937675669
60,Krč,Jih,18,14,14853.0,19356.0,14782.0,76.36908452159537
39,Letná,Severovýchod,20,6,2519.0,2280.0,2503.0,109.78070175438596
88,Ládví,Severovýchod,21,15,25551.0,23438.0,25390.0,108.32835566174589
1,Ústřední knihovna,Ústřední knihovna,99,43,475192.0,283948.0,311467.0,109.69156324397424
89,Chodov,Jih,17,12,16318.0,14303.0,16294.0,113.9201566105013
38,Dejvice,Středozápad,20,12,32084.0,26706.0,31152.0,116.64794428218377
3,Hradčany,Středozápad,12,8,5122.0,4682.0,4672.0,99.78641606151217
41,Novodvorská,Jih,20,14,14129.0,14885.0,14109.0,94.78669801813906
58,Opatov,Jih,29,23,83829.0,87553.0,83665.0,95.55926124747296
82,Kiosek DBK,,3,0,611.0,,,
94,MVK Řepy,,4,0,77.0,,,
61,Malešice,Jihovýchod,12,10,10143.0,8167.0,10129.0,124.02350924452062
13,Hloubětín,Severovýchod,13,7,5018.0,4311.0,4954.0,114.91533286940385
19,(zrušeno) Vršovice,,11,0,0.0,,,
66,Vozovna,Středozápad,14,10,15207.0,12022.0,15026.0,124.98752287472966
8,Školská,Středozápad,26,12,12518.0,13502.0,11744.0,86.97970671011701
51,Dittrichova,Středozápad,17,10,11184.0,8604.0,10517.0,122.23384472338448
4,Ostrčilovo nám.,Středozápad,14,8,8237.0,6857.0,8062.0,117.57328277672451
24,Jezerka,Jih,21,17,13450.0,11494.0,12884.0,112.09326605185313
43,Pankrác,Jih,23,10,8190.0,6592.0,8166.0,123.87742718446601
45,Vzdálený sklad Spořilov,Jih,18,13,31313.0,14455.0,17917.0,123.95019024558977
56,Vzdálený sklad Domu čtení,Jihovýchod,14,7,43258.0,24576.0,28324.0,115.25065104166667
33,Košíře,,2,0,0.0,,,
203,Expedice,,1,0,1.0,,,
111,Provaznická,,2,0,0.0,,,
7,Kobylisy,Severovýchod,17,11,10761.0,9248.0,10677.0,115.45198961937716
48,Ostrovského,Jihozápad,15,12,7336.0,6012.0,7316.0,121.68995342648037
27,Modřany,Jih,14,11,16635.0,15934.0,16561.0,103.93498179992469
84,Stodůlky,Jihozápad,18,15,12215.0,11351.0,12169.0,107.20641353184742
86,Kiosek CČM,,3,0,118.0,,,
